name	source
neon pink	xkcd
neon purple	xkcd
neon red	xkcd
neon yellow	xkcd
nice blue	xkcd
night blue	xkcd
ocean	xkcd
ocean blue	xkcd
ocean green	xkcd
ocher	xkcd
ochre	xkcd
ocre	xkcd
off blue	xkcd
off green	xkcd
off white	xkcd
off yellow	xkcd
old lace	css
old pink	xkcd
old rose	xkcd
olive	xkcd+css
olive brown	xkcd
olive drab	xkcd+css
olive green	xkcd
olive yellow	xkcd
orange	xkcd+css
orange brown	xkcd
orange pink	xkcd
orange red	xkcd+css
orange yellow	xkcd
orangeish	xkcd
orangered	xkcd
orangey brown	xkcd
orangey red	xkcd
orangey yellow	xkcd
orangish	xkcd
orangish brown	xkcd
orangish red	xkcd
orchid	xkcd+css
pale	xkcd
pale aqua	xkcd
pale blue	xkcd
pale brown	xkcd
pale cyan	xkcd
pale gold	xkcd
pale goldenrod	css
pale green	xkcd+css
pale grey	xkcd
pale lavender	xkcd
pale light green	xkcd
pale lilac	xkcd
pale lime	xkcd
pale lime green	xkcd
pale magenta	xkcd
pale mauve	xkcd
pale olive	xkcd
pale olive green	xkcd
pale orange	xkcd
pale peach	xkcd
pale pink	xkcd
pale purple	xkcd
pale red	xkcd
pale rose	xkcd
pale salmon	xkcd
pale sky blue	xkcd
pale teal	xkcd
pale turquoise	xkcd+css
pale violet	xkcd
pale violet red	css
pale yellow	xkcd
papaya whip	css
parchment	xkcd
pastel blue	xkcd
pastel green	xkcd
pastel orange	xkcd
pastel pink	xkcd
pastel purple	xkcd
pastel red	xkcd
pastel yellow	xkcd
pea	xkcd
pea green	xkcd
pea soup	xkcd
pea soup green	xkcd
peach	xkcd
peach puff	css
peachy pink	xkcd
peacock blue	xkcd
pear	xkcd
periwinkle	xkcd
periwinkle blue	xkcd
perrywinkle	xkcd
peru	css
petrol	xkcd
pig pink	xkcd
pine	xkcd
pine green	xkcd
pink	xkcd+css
pink purple	xkcd
pink red	xkcd
pinkish	xkcd
pinkish brown	xkcd
pinkish grey	xkcd
pinkish orange	xkcd
pinkish purple	xkcd
pinkish red	xkcd
pinkish tan	xkcd
pinky	xkcd
pinky purple	xkcd
pinky red	xkcd
pistachio	xkcd
plum	xkcd+css
plum purple	xkcd
poison green	xkcd
powder blue	xkcd+css
powder pink	xkcd
primary blue	xkcd
prussian blue	xkcd
puce	xkcd
pumpkin	xkcd
pumpkin orange	xkcd
pure blue	xkcd
purple	xkcd+css
purple blue	xkcd
purple brown	xkcd
purple grey	xkcd
purple pink	xkcd
purple red	xkcd
purpleish	xkcd
purpleish blue	xkcd
purpleish pink	xkcd
purpley	xkcd
purpley blue	xkcd
purpley grey	xkcd
purpley pink	xkcd
purplish	xkcd
purplish blue	xkcd
purplish brown	xkcd
purplish grey	xkcd
purplish pink	xkcd
purplish red	xkcd
purply	xkcd
purply blue	xkcd
purply pink	xkcd
putty	xkcd
racing green	xkcd
radioactive green	xkcd
raspberry	xkcd
raw sienna	xkcd
raw umber	xkcd
really light blue	xkcd
rebecca purple	css
red	xkcd+css
red brown	xkcd
red orange	xkcd
red pink	xkcd
red purple	xkcd
red violet	xkcd
red wine	xkcd
reddish	xkcd
reddish brown	xkcd
reddish grey	xkcd
reddish orange	xkcd
reddish pink	xkcd
reddish purple	xkcd
reddy brown	xkcd
rich blue	xkcd
rich purple	xkcd
robin egg blue	xkcd
robin's egg	xkcd
robin's egg blue	xkcd
rosa	xkcd
